timestamp,source_ip,dest_ip,username,event_type,action,status,port,protocol,bytes_sent,bytes_received
2024-01-01 07:01:38,10.0.3.15,10.0.0.3,grace,auth,login,success,22,ssh,7110,3226
2024-01-01 07:03:17,10.0.3.13,10.0.0.5,leo,auth,login,success,22,ssh,1320,6088
2024-01-01 07:20:24,10.0.3.20,10.0.0.3,alice,auth,login,success,22,ssh,7539,2136
2024-01-01 07:21:29,10.0.4.3,10.0.0.3,iris,auth,login,success,22,ssh,745,1981
2024-01-01 07:21:54,10.0.1.3,10.0.0.3,bob,auth,login,success,22,ssh,2163,13182
2024-01-01 07:37:49,10.0.4.6,10.0.0.1,jack,auth,login,success,22,ssh,2645,12009
2024-01-01 07:38:44,10.0.4.5,10.0.0.5,carol,auth,login,success,22,ssh,1894,14622
2024-01-01 07:42:05,10.0.2.7,10.0.0.5,frank,auth,login,success,22,ssh,1721,2475
2024-01-01 07:57:04,10.0.1.2,10.0.0.1,grace,auth,login,success,22,ssh,5844,11784
2024-01-01 08:16:14,10.0.1.14,10.0.0.2,grace,auth,login,success,22,ssh,4151,7129
2024-01-01 08:23:12,10.0.2.23,10.0.0.1,iris,auth,login,success,22,ssh,4114,4774
2024-01-01 08:27:39,10.0.4.17,10.0.0.2,eve,auth,login,success,22,ssh,4729,5569
2024-01-01 08:35:22,10.0.3.15,10.0.0.1,leo,auth,login,success,22,ssh,3920,8883
2024-01-01 08:42:47,10.0.4.12,10.0.0.1,carol,auth,login,success,22,ssh,7465,2237
2024-01-01 08:54:48,10.0.1.11,10.0.0.5,leo,auth,login,success,22,ssh,5424,6463
2024-01-01 08:58:45,10.0.2.17,10.0.0.3,alice,auth,login,failed,22,ssh,0,0
2024-01-01 08:59:25,10.0.4.10,10.0.0.3,jack,auth,login,success,22,ssh,3624,5617
2024-01-01 09:05:36,10.0.1.16,10.0.0.2,carol,auth,login,success,22,ssh,4154,11811
2024-01-01 09:06:20,203.216.174.72,10.0.0.5,alice,auth,login,success,22,ssh,2354,3788
2024-01-01 09:12:56,10.0.4.1,10.0.0.1,iris,auth,login,success,22,ssh,2543,1541
2024-01-01 09:16:37,203.119.13.144,10.0.0.5,grace,auth,login,success,22,ssh,2083,5384
2024-01-01 09:18:50,10.0.3.2,10.0.0.3,leo,auth,login,success,22,ssh,6821,5590
2024-01-01 09:20:47,10.0.1.10,10.0.0.2,grace,auth,login,success,22,ssh,2776,3849
2024-01-01 09:20:55,10.0.3.19,10.0.0.5,frank,auth,login,success,22,ssh,1786,2814
2024-01-01 09:23:09,10.0.1.21,10.0.0.1,jack,auth,login,success,22,ssh,602,10325
2024-01-01 09:26:35,10.0.1.7,10.0.0.3,leo,auth,login,success,22,ssh,3032,9925
2024-01-01 09:29:37,10.0.3.10,10.0.0.2,frank,auth,login,success,22,ssh,7729,8449
2024-01-01 09:35:58,10.0.2.8,10.0.0.5,frank,auth,login,success,22,ssh,3818,14482
2024-01-01 09:37:45,10.0.1.8,10.0.0.1,frank,auth,login,success,22,ssh,7434,9622
2024-01-01 09:42:36,10.0.2.15,10.0.0.1,carol,auth,login,success,22,ssh,1460,6616
2024-01-01 09:47:59,10.0.3.5,10.0.0.5,carol,auth,login,success,22,ssh,7071,11975
2024-01-01 09:56:10,10.0.4.3,10.0.0.1,iris,auth,login,success,22,ssh,794,12606
2024-01-01 10:10:24,10.0.1.12,10.0.0.3,grace,auth,login,success,22,ssh,5801,13329
2024-01-01 10:12:18,10.0.1.6,10.0.0.3,frank,auth,login,success,22,ssh,6388,3855
2024-01-01 10:17:45,10.0.2.7,10.0.0.2,carol,auth,login,success,22,ssh,882,3081
2024-01-01 10:20:27,10.0.1.3,10.0.0.2,grace,auth,login,success,22,ssh,5287,12051
2024-01-01 10:27:49,203.57.12.190,10.0.0.2,dave,auth,login,success,22,ssh,4185,15175
2024-01-01 10:43:11,10.0.4.7,10.0.0.3,grace,auth,login,success,22,ssh,3087,2546
2024-01-01 10:45:42,10.0.4.12,10.0.0.3,leo,auth,login,success,22,ssh,1550,13766
2024-01-01 10:46:49,10.0.1.5,10.0.0.5,bob,auth,login,failed,22,ssh,0,0
2024-01-01 10:53:11,10.0.2.16,10.0.0.2,alice,auth,login,success,22,ssh,4592,12795
2024-01-01 10:55:25,10.0.4.15,10.0.0.3,eve,auth,login,success,22,ssh,7384,15371
2024-01-01 11:05:26,10.0.1.17,10.0.0.2,carol,auth,login,success,22,ssh,7915,2953
2024-01-01 11:15:01,10.0.1.19,10.0.0.5,dave,auth,login,success,22,ssh,7364,8191
2024-01-01 11:15:23,10.0.3.2,10.0.0.5,iris,auth,login,success,22,ssh,772,6528
2024-01-01 11:15:53,203.15.47.56,10.0.0.3,bob,auth,login,failed,22,ssh,0,0
2024-01-01 11:18:20,10.0.3.21,10.0.0.2,jack,auth,login,success,22,ssh,5930,11485
2024-01-01 11:29:07,10.0.1.19,10.0.0.1,grace,auth,login,success,22,ssh,5255,5960
2024-01-01 11:31:05,10.0.4.8,10.0.0.1,leo,auth,login,success,22,ssh,7475,13841
2024-01-01 11:35:47,203.140.125.58,10.0.0.2,grace,auth,login,success,22,ssh,3574,9807
2024-01-01 11:36:38,10.0.1.5,10.0.0.3,eve,auth,login,success,22,ssh,2831,8444
2024-01-01 11:41:23,10.0.4.2,10.0.0.1,leo,auth,login,success,22,ssh,5970,2936
2024-01-01 11:52:00,203.57.12.190,10.0.0.5,iris,auth,login,success,22,ssh,7768,11872
2024-01-01 12:01:56,203.15.47.56,10.0.0.2,alice,auth,login,success,22,ssh,7984,7679
2024-01-01 12:02:41,10.0.4.13,10.0.0.5,jack,auth,login,success,22,ssh,3161,12985
2024-01-01 12:03:32,10.0.3.3,10.0.0.1,leo,auth,login,success,22,ssh,4797,11910
2024-01-01 12:05:44,10.0.4.16,10.0.0.2,dave,auth,login,success,22,ssh,4615,14863
2024-01-01 12:06:17,10.0.2.22,10.0.0.2,frank,auth,login,success,22,ssh,1322,10533
2024-01-01 12:08:14,10.0.2.4,10.0.0.2,bob,auth,login,success,22,ssh,2692,5483
2024-01-01 12:08:36,10.0.3.24,10.0.0.3,henry,auth,login,success,22,ssh,6544,1158
2024-01-01 12:14:46,203.3.81.179,10.0.0.2,karen,auth,login,failed,22,ssh,0,0
2024-01-01 12:15:31,10.0.4.9,10.0.0.5,frank,auth,login,failed,22,ssh,0,0
2024-01-01 12:15:50,10.0.1.22,10.0.0.5,grace,auth,login,success,22,ssh,2766,14764
2024-01-01 12:22:52,10.0.4.10,10.0.0.2,dave,auth,login,success,22,ssh,6919,5468
2024-01-01 12:22:53,10.0.2.5,10.0.0.3,karen,auth,login,success,22,ssh,4986,9552
2024-01-01 12:52:52,10.0.1.24,10.0.0.3,grace,auth,login,success,22,ssh,6580,10639
2024-01-01 12:56:26,10.0.4.22,10.0.0.3,carol,auth,login,failed,22,ssh,0,0
2024-01-01 13:05:56,10.0.1.20,10.0.0.1,jack,auth,login,success,22,ssh,1661,14263
2024-01-01 13:09:43,10.0.2.18,10.0.0.5,bob,auth,login,success,22,ssh,5455,3072
2024-01-01 13:12:40,10.0.1.18,10.0.0.1,karen,auth,login,success,22,ssh,1407,3585
2024-01-01 13:12:44,10.0.3.11,10.0.0.3,henry,auth,login,success,22,ssh,1802,15326
2024-01-01 13:15:22,10.0.1.5,10.0.0.2,frank,auth,login,success,22,ssh,4352,4263
2024-01-01 13:21:42,10.0.3.15,10.0.0.5,grace,auth,login,success,22,ssh,6432,3704
2024-01-01 13:25:16,10.0.3.21,10.0.0.1,grace,auth,login,success,22,ssh,3345,14873
2024-01-01 13:36:20,10.0.3.20,10.0.0.3,alice,auth,login,success,22,ssh,7814,11621
2024-01-01 13:40:58,10.0.1.12,10.0.0.2,grace,auth,login,success,22,ssh,5053,8571
2024-01-01 13:43:27,10.0.3.16,10.0.0.2,grace,auth,login,success,22,ssh,7940,4066
2024-01-01 13:43:56,10.0.4.15,10.0.0.2,henry,auth,login,success,22,ssh,3192,4615
